DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2014,16659,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2015,15224,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2016,15347,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2017,15332,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2018,15270,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2019,14829,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2020,13870,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,France,2021,15149,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2010,595,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2011,733,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2012,758,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2013,704,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2014,822,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2015,752,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2016,794,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2017,867,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2018,862,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2019,949,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2020,1052,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2021,1111,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2010,1730,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2011,2043,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2012,2203,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2013,2293,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2014,2287,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2015,2197,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2016,2309,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2017,2551,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2018,2551,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2019,2529,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2020,2406,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Hungary,2021,2880,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2010,1194,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2011,1452,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2012,1318,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2013,1271,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2014,1297,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2015,1253,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2016,1321,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2017,1397,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2018,1502,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Exports of waste for recovery - recycling,Total,Thousand tonnes,Ireland,2019,1443,
