DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Cyprus,2020,51,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,1995,208.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,1996,195.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,1997,167.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,1998,174.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,1999,192.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2000,208.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2001,219.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2002,263.1,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2003,297.3,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2004,276.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2005,336.7,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2006,376.9,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2007,391.8,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2008,444.6,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2009,437.2,
ESTAT:GOV_10A_EXP(1.0),14.11.22 23:00,Annual,Million euro,General government,Waste management,Total general government expenditure,Czechia,2010,489.1,
