TIME,GEO,CEPAREMA,UNIT,Value
2015,Luxembourg,Waste management,Million euro,6.10
2015,Hungary,Waste management,Million euro,357.90
2015,Malta,Waste management,Million euro,59.80
2015,Netherlands,Waste management,Million euro,633.00
2015,Austria,Waste management,Million euro,4.90
2015,Poland,Waste management,Million euro,218.80
2015,Portugal,Waste management,Million euro,17.10
2015,Romania,Waste management,Million euro,404.30
2015,Slovenia,Waste management,Million euro,72.80
2015,Slovakia,Waste management,Million euro,106.90
2015,Finland,Waste management,Million euro,0.00
2015,Sweden,Waste management,Million euro,398.20
2015,Iceland,Waste management,Million euro,3.40
2015,Norway,Waste management,Million euro,56.90
2015,Switzerland,Waste management,Million euro,511.30
2015,United Kingdom,Waste management,Million euro,3397.70
2015,Serbia,Waste management,Million euro,1.10
2015,Turkiye,Waste management,Million euro,50.70
2016,European Union,Waste management,Million euro,4422.90
2016,Belgium,Waste management,Million euro,147.10
2016,Bulgaria,Waste management,Million euro,38.70
2016,Czechia,Waste management,Million euro,37.60
2016,Denmark,Waste management,Million euro,0.00
2016,Germany,Waste management,Million euro,606.00
2016,Estonia,Waste management,Million euro,2.60
2016,Ireland,Waste management,Million euro,23.20
2016,Greece,Waste management,Million euro,178.00
2016,Spain,Waste management,Million euro,222.00
2016,France,Waste management,Million euro,1031.30
2016,Croatia,Waste management,Million euro,35.60
2016,Italy,Waste management,Million euro,410.00
2016,Cyprus,Waste management,Million euro,24.70
2016,Latvia,Waste management,Million euro,11.30
2016,Lithuania,Waste management,Million euro,2.90
2016,Luxembourg,Waste management,Million euro,14.70
2016,Hungary,Waste management,Million euro,21.00
2016,Malta,Waste management,Million euro,10.20
2016,Netherlands,Waste management,Million euro,870.00
2016,Austria,Waste management,Million euro,2.50
2016,Poland,Waste management,Million euro,34.90
2016,Portugal,Waste management,Million euro,20.30
2016,Romania,Waste management,Million euro,140.80
2016,Slovenia,Waste management,Million euro,30.70
2016,Slovakia,Waste management,Million euro,13.40
2016,Finland,Waste management,Million euro,0.00
2016,Sweden,Waste management,Million euro,493.70
2016,Iceland,Waste management,Million euro,2.40
2016,Norway,Waste management,Million euro,78.00
2016,Switzerland,Waste management,Million euro,486.30
2016,United Kingdom,Waste management,Million euro,3050.40
2016,Serbia,Waste management,Million euro,1.30
2016,Turkiye,Waste management,Million euro,52.70
2017,European Union,Waste management,Million euro,4572.60
2017,Belgium,Waste management,Million euro,219.60
2017,Bulgaria,Waste management,Million euro,27.10
2017,Czechia,Waste management,Million euro,37.50
2017,Denmark,Waste management,Million euro,0.40
2017,Germany,Waste management,Million euro,651.00
2017,Estonia,Waste management,Million euro,1.90
2017,Ireland,Waste management,Million euro,31.90
2017,Greece,Waste management,Million euro,137.00
2017,Spain,Waste management,Million euro,240.00
2017,France,Waste management,Million euro,1058.70
2017,Croatia,Waste management,Million euro,36.30
2017,Italy,Waste management,Million euro,541.00
2017,Cyprus,Waste management,Million euro,1.70
2017,Latvia,Waste management,Million euro,13.20
2017,Lithuania,Waste management,Million euro,2.60
2017,Luxembourg,Waste management,Million euro,5.80
2017,Hungary,Waste management,Million euro,22.10
2017,Malta,Waste management,Million euro,6.10
2017,Netherlands,Waste management,Million euro,847.00
2017,Austria,Waste management,Million euro,3.80
2017,Poland,Waste management,Million euro,13.00
2017,Portugal,Waste management,Million euro,12.70
2017,Romania,Waste management,Million euro,76.30
2017,Slovenia,Waste management,Million euro,5.80
2017,Slovakia,Waste management,Million euro,19.00
2017,Finland,Waste management,Million euro,0.00
2017,Sweden,Waste management,Million euro,561.30
2017,Iceland,Waste management,Million euro,3.80
2017,Norway,Waste management,Million euro,80.70
2017,Switzerland,Waste management,Million euro,481.30
2017,United Kingdom,Waste management,Million euro,3114.10
2017,Serbia,Waste management,Million euro,0.40
2017,Turkiye,Waste management,Million euro,63.90
