DATAFLOW,LAST UPDATE,freq,indic_env,material,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,European Union,2021,41388,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2010,1275,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2011,1197,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2012,567,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2013,745,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2014,858,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2015,854,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2016,877,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2017,881,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2018,903,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2019,948,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2020,913,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Finland,2021,944,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2010,11256,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2011,11244,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2012,12872,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2013,11203,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2014,11691,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2015,12041,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2016,11116,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2017,10984,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2018,11022,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2019,11593,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2020,11302,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,France,2021,11070,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2010,677,
ESTAT:ENV_AC_SD(1.0),09.12.22 23:00,Annual,Imports of waste for recovery - recycling,Total,Thousand tonnes,Croatia,2011,777,
